City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
125,Port Hedland,-20.3167,118.5667,62.65,45,19,8.05,few clouds,AU
126,Dikson,73.5069,80.5464,35.2,77,100,18.52,overcast clouds,RU
127,Lyngdal,58.1376,7.07,52.9,70,99,9.86,overcast clouds,NO
128,Villazon,-22.0866,-65.5942,60.03,34,58,17.81,broken clouds,BO
129,Singaraja,-8.112,115.0882,78.1,78,26,4.54,scattered clouds,ID
130,Lebu,-37.6167,-73.65,50.0,75,1,16.93,clear sky,CL
131,Talnakh,69.4865,88.3972,35.1,90,100,6.85,overcast clouds,RU
132,Pangkalanbuun,-2.6833,111.6167,73.38,92,46,1.95,scattered clouds,ID
133,San Quintin,30.4833,-115.95,71.89,66,0,16.51,clear sky,MX
134,Batemans Bay,-35.7167,150.1833,66.2,39,0,8.97,clear sky,AU
135,Port Lincoln,-34.7333,135.8667,53.06,58,79,23.26,broken clouds,AU
136,Quatre Cocos,-20.2078,57.7625,69.91,62,86,10.96,overcast clouds,MU
137,Esna,25.2934,32.554,82.42,15,6,6.55,clear sky,EG
138,Carnarvon,-24.8667,113.6333,57.27,54,0,10.36,clear sky,AU
139,Shimoda,34.6667,138.95,73.6,61,2,15.82,clear sky,JP
140,Outlook,51.5001,-107.0513,64.96,28,89,11.97,overcast clouds,CA
141,Kaeo,-35.1,173.7833,65.32,64,26,6.89,scattered clouds,NZ
142,Puksoozero,62.5903,40.6066,32.54,93,55,4.12,broken clouds,RU
143,Esperance,-33.8667,121.9,51.64,65,63,10.51,broken clouds,AU
144,Kloulklubed,7.0419,134.2556,77.5,72,92,12.15,overcast clouds,PW
145,Paamiut,61.994,-49.6678,36.77,82,93,8.93,overcast clouds,GL
146,Nailon,11.0521,124.0385,80.51,81,99,4.41,overcast clouds,PH
147,Palora,-1.7,-77.9333,80.71,72,62,1.72,broken clouds,EC
148,Banfora,10.6333,-4.7667,76.5,81,80,3.06,broken clouds,BF
149,Puerto Madryn,-42.7692,-65.0385,54.5,52,55,8.84,broken clouds,AR
150,Chuy,-33.6971,-53.4616,61.57,98,100,8.52,overcast clouds,UY
151,Homer,59.6425,-151.5483,60.04,58,1,4.61,clear sky,US
152,Port Elizabeth,-33.918,25.5701,57.49,82,0,10.36,clear sky,ZA
153,Sterling,39.0062,-77.4286,80.6,74,1,4.61,clear sky,US
154,Ucluelet,48.9329,-125.5528,62.04,88,54,4.61,broken clouds,CA
155,Lagoa,39.05,-27.9833,68.65,63,62,11.97,broken clouds,PT
156,Oksbol,55.6268,8.2876,52.41,82,96,9.06,overcast clouds,DK
157,Okhotsk,59.3833,143.3,47.43,77,100,9.17,overcast clouds,RU
158,Kilifi,-3.6305,39.8499,74.89,84,13,15.21,few clouds,KE
159,Ambon,-3.6954,128.1814,75.34,94,75,4.61,thunderstorm with heavy rain,ID
160,Ponta Do Sol,32.6667,-17.1,74.03,69,94,5.79,overcast clouds,PT
161,Marawi,7.9986,124.2928,65.64,95,100,1.07,overcast clouds,PH
162,Nanortalik,60.1432,-45.2371,37.22,89,46,8.77,scattered clouds,GL
163,Husavik,66.0449,-17.3389,46.31,87,99,5.08,overcast clouds,IS
164,Artyom,40.4723,50.333,64.54,63,0,6.62,clear sky,AZ
165,Tuktoyaktuk,69.4541,-133.0374,44.6,49,75,13.8,broken clouds,CA
166,Caxito,-8.5785,13.6643,72.25,73,92,1.48,overcast clouds,AO
167,Kathu,7.9178,98.3332,76.82,77,100,12.17,light rain,TH
168,Hervey Bay,-25.2986,152.8535,76.03,65,0,9.06,clear sky,AU
169,Faya,18.3851,42.4509,68.11,22,60,4.43,broken clouds,SA
170,Latung,5.5,120.8833,82.76,73,97,3.85,overcast clouds,PH
171,Broome,42.2506,-75.833,66.97,45,0,3.15,clear sky,US
172,Hithadhoo,-0.6,73.0833,81.95,78,99,5.08,overcast clouds,MV
173,Bubaque,11.2833,-15.8333,80.65,82,100,10.54,light rain,GW
174,Verkhoyansk,67.5447,133.385,29.14,84,69,3.09,broken clouds,RU
175,Waingapu,-9.6567,120.2641,79.9,77,100,10.85,overcast clouds,ID
176,Pacifica,37.6138,-122.4869,82.26,79,75,20.71,broken clouds,US
177,Maputo,-25.9653,32.5892,64.08,68,0,14.97,clear sky,MZ
178,Healdsburg,38.6105,-122.8692,82.15,41,20,8.99,few clouds,US
179,Bethel,41.3712,-73.414,72.52,73,7,4.34,clear sky,US
180,Kupang,-10.1667,123.5833,77.58,73,40,6.91,scattered clouds,ID
181,Kudahuvadhoo,2.6708,72.8944,82.13,76,87,7.18,overcast clouds,MV
182,Tura,25.5198,90.2201,71.51,98,33,4.09,scattered clouds,IN
183,San Luis,-33.295,-66.3356,61.25,69,50,18.01,scattered clouds,AR
184,Umba,66.6871,34.3429,38.05,75,5,1.03,clear sky,RU
185,Quezon,7.7303,125.0989,73.09,96,100,0.65,overcast clouds,PH
186,Mbandaka,0.0487,18.2603,68.86,98,93,2.64,overcast clouds,CD
187,Aripuana,-9.1667,-60.6333,83.41,49,76,1.7,broken clouds,BR
188,Carhuaz,-9.2819,-77.6447,62.49,63,81,2.95,light rain,PE
189,Port Blair,11.6667,92.75,79.97,85,100,3.51,overcast clouds,IN
190,Changji,44.0167,87.3167,75.99,25,0,13.42,clear sky,CN
191,Wajid,3.8093,43.2471,73.83,76,31,21.52,scattered clouds,SO
192,Tongliao,43.6125,122.2653,51.42,80,100,10.45,overcast clouds,CN
193,Hasaki,35.7333,140.8333,66.6,66,53,16.75,broken clouds,JP
194,Ilulissat,69.2167,-51.1,23.02,58,100,6.91,overcast clouds,GL
195,Tamiahua,21.2667,-97.45,83.1,73,51,6.85,broken clouds,MX
196,Sitka,57.0531,-135.33,55.29,76,75,4.61,broken clouds,US
197,Namibe,-15.1961,12.1522,61.05,84,16,4.72,few clouds,AO
198,Deputatskiy,69.3,139.9,19.74,91,98,6.2,overcast clouds,RU
199,Senneterre,48.3835,-77.2328,66.42,67,5,5.61,clear sky,CA
200,Det Udom,14.906,105.0784,75.02,98,98,5.21,overcast clouds,TH
201,Matranovak,48.0381,19.9826,49.12,92,16,2.24,few clouds,HU
202,Mayumba,-3.432,10.6554,74.01,80,24,2.73,few clouds,GA
203,Longhua,23.6137,114.1919,78.03,93,7,0.74,clear sky,CN
204,Pamanukan,-6.2842,107.8106,76.51,76,6,5.37,clear sky,ID
205,Epe,6.5841,3.9834,76.14,92,92,4.54,overcast clouds,NG
206,Chapais,49.7834,-74.8492,58.78,62,57,5.75,broken clouds,CA
207,Champerico,14.3,-91.9167,87.35,76,88,5.08,overcast clouds,GT
208,Aron,24.3833,77.4167,71.67,96,16,6.93,few clouds,IN
209,Rio Gallegos,-51.6226,-69.2181,51.85,43,75,13.8,broken clouds,AR
210,Saryagash,41.4511,69.1701,64.36,24,0,1.5,clear sky,KZ
211,Lata,40.1629,-8.3327,62.08,97,10,1.88,clear sky,PT
212,Carahue,-38.7,-73.1667,53.8,87,6,3.74,clear sky,CL
213,Cidreira,-30.1811,-50.2056,66.6,97,91,17.9,heavy intensity rain,BR
214,Lazaro Cardenas,17.9583,-102.2,83.62,76,82,7.47,broken clouds,MX
215,Griffith,41.5284,-87.4237,89.42,54,1,4.61,clear sky,US
