City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,sakaiminato,35.55,133.2333,76.98,65,75,16.11,JP,2021-09-19 01:27:20
211,cherskiy,68.75,161.3,34.61,56,14,12.59,RU,2021-09-19 01:18:44
212,alta floresta,-9.8756,-56.0861,76.82,88,0,1.14,BR,2021-09-19 01:20:38
213,karimganj,24.8667,92.35,76.86,95,86,2.48,IN,2021-09-19 01:20:18
214,richards bay,-28.783,32.0377,56.53,80,0,7.38,ZA,2021-09-19 01:27:20
215,san diego,32.7153,-117.1573,80.06,73,1,11.5,US,2021-09-19 01:23:04
216,hit,33.6416,42.8251,81.3,28,0,7.9,IQ,2021-09-19 01:27:21
217,hamilton,39.1834,-84.5333,79.99,77,1,0.0,US,2021-09-19 01:15:45
218,bonga,7.2833,36.2333,60.17,99,100,1.34,ET,2021-09-19 01:27:21
219,grand gaube,-20.0064,57.6608,68.4,88,94,5.14,MU,2021-09-19 01:20:06
220,ilheus,-14.7889,-39.0494,71.42,88,40,4.61,BR,2021-09-19 01:27:21
221,turriff,57.5384,-2.4593,58.44,100,100,10.96,GB,2021-09-19 01:27:21
222,marathon,44.9,-89.7668,63.93,75,1,5.75,US,2021-09-19 01:27:22
223,bredasdorp,-34.5322,20.0403,50.29,93,1,6.91,ZA,2021-09-19 01:19:51
224,goderich,43.7501,-81.7165,63.91,76,100,4.61,CA,2021-09-19 01:19:51
225,saint george,37.1041,-113.5841,79.95,51,90,3.0,US,2021-09-19 01:17:01
226,cayenne,4.9333,-52.3333,83.08,81,0,1.99,GF,2021-09-19 01:19:58
227,constantine,36.365,6.6147,67.41,94,0,3.44,DZ,2021-09-19 01:27:22
228,tawang,27.5833,91.8667,56.89,70,2,2.8,IN,2021-09-19 01:19:50
229,pacific grove,36.6177,-121.9166,73.17,81,40,4.0,US,2021-09-19 01:20:51
230,qaqortoq,60.7167,-46.0333,41.5,95,100,7.25,GL,2021-09-19 01:20:54
231,sabha,27.0377,14.4283,78.64,20,0,10.09,LY,2021-09-19 01:27:22
232,smederevska palanka,44.3655,20.9589,60.01,61,88,2.57,RS,2021-09-19 01:27:22
233,yumen,40.2833,97.2,66.9,26,6,10.78,CN,2021-09-19 01:21:22
234,san jose,37.3394,-121.895,73.81,64,20,10.0,US,2021-09-19 01:25:20
235,omsukchan,62.5333,155.8,44.28,86,100,6.11,RU,2021-09-19 01:19:55
236,college,64.8569,-147.8028,45.59,52,75,12.66,US,2021-09-19 01:20:24
237,esna,25.2934,32.554,75.22,28,0,1.74,EG,2021-09-19 01:27:23
238,vagur,61.4732,-6.8119,53.06,86,100,21.99,FO,2021-09-19 01:27:23
239,berlevag,70.8578,29.0864,41.54,78,0,18.75,NO,2021-09-19 01:20:36
240,kaduqli,11.0167,29.7167,67.37,97,100,3.04,SD,2021-09-19 01:27:23
241,mandawar,29.5,78.1333,75.45,87,0,5.17,IN,2021-09-19 01:27:23
242,derazhnya,49.2692,27.4338,50.22,96,57,7.56,UA,2021-09-19 01:27:24
243,tari,12.4086,4.4914,77.94,77,49,8.12,NG,2021-09-19 01:27:24
244,sur,22.5667,59.5289,80.83,74,6,9.62,OM,2021-09-19 01:20:55
245,orda,57.1951,56.9091,35.91,88,100,15.21,RU,2021-09-19 01:27:24
246,buala,-8.145,159.5921,83.48,77,64,11.61,SB,2021-09-19 01:19:56
247,bambanglipuro,-7.95,110.2833,80.74,72,22,11.34,ID,2021-09-19 01:21:28
248,quatre cocos,-20.2078,57.7625,68.11,82,63,4.97,MU,2021-09-19 01:20:38
249,lima,-12.0432,-77.0282,58.14,82,90,10.36,PE,2021-09-19 01:26:28
250,pangnirtung,66.1451,-65.7125,32.86,83,100,3.29,CA,2021-09-19 01:20:23
251,kamaishi,39.2667,141.8833,74.35,59,44,2.28,JP,2021-09-19 01:27:25
252,leh,34.1667,77.5833,56.1,31,0,1.97,IN,2021-09-19 01:20:20
253,iquique,-20.2208,-70.1431,59.04,77,73,2.15,CL,2021-09-19 01:25:53
254,ahipara,-35.1667,173.1667,57.22,64,100,9.19,NZ,2021-09-19 01:20:36
255,ossora,59.2353,163.0719,55.6,63,99,3.11,RU,2021-09-19 01:21:06
256,siilinjarvi,63.0833,27.6667,37.42,93,75,2.3,FI,2021-09-19 01:27:25
257,kazanskoye,55.6448,69.235,34.18,90,8,12.17,RU,2021-09-19 01:27:25
258,blind river,46.1834,-82.9582,51.91,68,88,3.94,CA,2021-09-19 01:27:25
259,meadow lake,34.8014,-106.5436,84.33,28,13,11.21,US,2021-09-19 01:20:29
260,takoradi,4.8845,-1.7554,74.77,93,100,5.68,GH,2021-09-19 01:27:26
261,loukhi,66.0764,33.0381,40.03,80,100,3.51,RU,2021-09-19 01:27:26
262,vardo,70.3705,31.1107,43.47,77,4,19.55,NO,2021-09-19 01:19:41
263,lompoc,34.6391,-120.4579,70.02,74,1,10.36,US,2021-09-19 01:21:05
264,bernalillo,35.05,-106.6673,86.18,26,75,3.44,US,2021-09-19 01:27:26
265,lakes entrance,-37.8811,147.981,65.16,43,100,11.07,AU,2021-09-19 01:27:26
266,caravelas,-17.7125,-39.2481,71.26,84,6,7.05,BR,2021-09-19 01:21:09
267,riverbank,37.736,-120.9355,82.74,57,1,10.0,US,2021-09-19 01:27:27
268,petropavlovsk-kamchatskiy,53.0452,158.6483,57.79,51,20,4.47,RU,2021-09-19 01:20:01
269,bang saphan,11.2126,99.5117,82.35,81,98,4.72,TH,2021-09-19 01:24:47
270,sinnamary,5.3833,-52.95,79.09,86,66,6.98,GF,2021-09-19 01:22:27
271,praia,14.9215,-23.5087,79.34,94,40,5.75,CV,2021-09-19 01:20:09
272,flin flon,54.7682,-101.865,62.11,51,100,9.8,CA,2021-09-19 01:15:44
273,taksimo,56.3444,114.8794,44.92,61,38,1.41,RU,2021-09-19 01:27:27
274,kahului,20.8947,-156.47,86.02,65,40,24.16,US,2021-09-19 01:16:03
275,naze,28.3667,129.4833,81.52,64,9,5.26,JP,2021-09-19 01:19:02
276,riyadh,24.6877,46.7219,80.74,17,0,6.67,SA,2021-09-19 01:23:29
277,husavik,66.0449,-17.3389,42.71,85,48,9.73,IS,2021-09-19 01:27:27
278,leningradskiy,69.3833,178.4167,28.35,83,97,18.95,RU,2021-09-19 01:20:06
279,morrinhos,-17.7311,-49.0994,75.36,27,6,4.99,BR,2021-09-19 01:24:41
280,chimore,-16.9833,-65.1333,84.15,47,98,2.39,BO,2021-09-19 01:27:27
281,kaitangata,-46.2817,169.8464,54.84,56,100,7.74,NZ,2021-09-19 01:19:45
282,road town,18.4167,-64.6167,82.0,73,4,13.85,VG,2021-09-19 01:25:58
283,finschhafen,-6.6024,147.8681,75.67,96,100,12.26,PG,2021-09-19 01:21:21
284,ostrovnoy,68.0531,39.5131,36.86,80,8,2.89,RU,2021-09-19 01:20:15
285,gasa,31.5,34.4667,73.9,63,0,7.83,PS,2021-09-19 01:27:28
286,codrington,-38.2667,141.9667,52.66,85,100,21.56,AU,2021-09-19 01:19:41
287,sabang,5.8933,95.3214,81.37,71,100,6.73,ID,2021-09-19 01:27:28
288,lebu,-37.6167,-73.65,47.97,80,3,9.84,CL,2021-09-19 01:15:17
289,krasnoborsk,61.5598,45.934,35.2,88,100,6.76,RU,2021-09-19 01:27:28
290,tasiilaq,65.6145,-37.6368,37.56,67,100,4.85,GL,2021-09-19 01:18:13
291,xapuri,-10.6517,-68.5044,80.62,58,5,2.55,BR,2021-09-19 01:27:29
292,sao joao da barra,-21.6403,-41.0511,73.4,86,8,9.66,BR,2021-09-19 01:21:04
293,maxixe,-23.8597,35.3472,65.39,55,91,7.11,MZ,2021-09-19 01:20:40
294,klaksvik,62.2266,-6.589,54.52,88,100,22.53,FO,2021-09-19 01:19:54
295,auki,-8.7676,160.7034,84.96,69,31,5.3,SB,2021-09-19 01:20:47
296,verkhnevilyuysk,63.4453,120.3167,38.84,67,100,7.0,RU,2021-09-19 01:21:09
297,buckeye,33.3703,-112.5838,90.28,52,2,9.22,US,2021-09-19 01:26:59
298,yulara,-25.2406,130.9889,75.04,27,0,11.5,AU,2021-09-19 01:27:29
299,neon monastirion,39.2333,22.25,75.02,51,17,4.94,GR,2021-09-19 01:27:29
300,dandong,40.1292,124.3947,71.24,77,97,1.54,CN,2021-09-19 01:27:29
301,provideniya,64.3833,-173.3,47.82,80,11,7.45,RU,2021-09-19 01:19:44
302,beringovskiy,63.05,179.3167,49.32,63,7,3.96,RU,2021-09-19 01:18:09
