City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
58,Duverge,DO,86.05,scattered clouds,18.3784,-71.5247,Hotel La Casona
60,Hilo,US,81.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
61,Guaraciaba Do Norte,BR,76.51,overcast clouds,-4.1669,-40.7475,Gospel Fazenda Park Hotel
63,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
65,Butaritari,KI,83.05,broken clouds,3.0707,172.7902,Isles Sunset Lodge
73,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
75,Tateyama,JP,69.82,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
76,Marietta,US,78.58,overcast clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
78,Manihari,IN,78.75,scattered clouds,25.35,87.6333,Sarfaraz
79,Lompoc,US,87.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
80,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
84,Fomboni,KM,76.26,clear sky,-12.28,43.7425,Auberge les abou
85,Balkanabat,TM,75.99,clear sky,39.5108,54.3671,Nebitchi Hotel
86,Pismo Beach,US,89.87,clear sky,35.1428,-120.6413,SeaCrest OceanFront Hotel
91,Manhattan,US,76.95,clear sky,40.7834,-73.9662,The Excelsior Hotel
92,Garden City,US,79.86,scattered clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
93,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
101,Faanui,PF,77.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
103,Macau,MO,82.71,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
106,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
108,Cavalcante,BR,77.85,clear sky,-13.7975,-47.4583,Pousada Vila dos Ipês
109,Kota,IN,76.59,broken clouds,25.1833,75.8333,Hotel Tanishq
110,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
112,Algiers,DZ,71.42,scattered clouds,36.7525,3.042,Sofitel Algiers Hamma Garden
113,Pokhara,NP,69.28,broken clouds,28.2333,83.9833,Butterfly Lodge
115,Madiun,ID,75.42,clear sky,-7.6298,111.5239,ASTON Madiun Hotel & Conference Center
117,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
120,Cayenne,GF,84.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
121,Clinton,US,78.26,few clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
122,Nantucket,US,66.54,clear sky,41.2835,-70.0995,Jared Coffin House
129,Singaraja,ID,78.1,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
132,Pangkalanbuun,ID,73.38,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
133,San Quintin,MX,71.89,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
134,Batemans Bay,AU,66.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
136,Quatre Cocos,MU,69.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
